TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative
50,3,5,5,0.01,1079749.0,-0.43336977255888637,1.0290897227021816,10.79749,207468.97,-0.17105418153630594,1.7068625131114195,2.0746896875
50,3,5,5,0.1,649939.75,-0.43797195324637456,0.9016773001414048,6.4993975,81947.33,-0.4525784426103123,-0.22409299462967477,0.81947328125
50,3,5,10,0.01,1506752.1,-0.3851590418533086,1.1292469535602407,15.06752125,137128.42,-0.31744232447925264,0.7423098386863575,1.37128421875
50,3,5,10,0.1,367332.03,-0.3532217613745848,0.8230983974115308,3.6733203125,124482.95,-0.1610876125853727,0.7833444223381082,1.24482953125
50,3,5,20,0.01,1218722.5,-0.4022796222003565,1.0525138769424085,12.187225,146248.73,-0.3173361560796759,0.8573353563251362,1.46248734375
50,3,5,20,0.1,279148.5,-0.211398860020465,0.6552066960079485,2.791485,116205.17,-0.15211460148821587,0.5580753946409731,1.16205171875
50,3,10,5,0.01,799466.44,-0.41161585861124644,0.9159323028215942,7.994664375,168062.06,-0.22460423746795463,1.2867030722663062,1.680620625
50,3,10,5,0.1,1000887.06,-0.4379716737769839,0.9986819968992774,10.008870625,102410.06,-0.3717334700270687,0.19233316056125757,1.024100625
50,3,10,10,0.01,1181804.9,-0.3851558579469956,1.0471522952652712,11.81804875,102150.12,-0.3713816480947078,0.1875059529749848,1.021501171875
50,3,10,10,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,3,10,20,0.01,979047.5,-0.43720257913030386,0.9946858341737252,9.790475,144979.31,-0.2883464101889705,0.8385483861142785,1.449793125
50,3,10,20,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,3,20,5,0.01,952197.4,-0.2794366090213645,0.994845061362495,9.52197375,125543.28,-0.21723252815772925,0.6642081661622322,1.2554328125
50,3,20,5,0.1,836988.75,-0.43797185400658545,0.8903320415039115,8.3698875,135802.64,-0.22260670864983767,0.7622230892139905,1.35802640625
50,3,20,10,0.01,1227747.6,-0.43530392062257206,1.0457304067097455,12.27747625,155659.22,-0.3204603017954946,0.9730845227020147,1.5565921875
50,3,20,10,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,3,20,20,0.01,1114075.5,-0.3851591236886211,1.0499379181745738,11.140755,185447.19,-0.19539997649717394,1.3139095445897908,1.854471875
50,3,20,20,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,4,5,5,0.01,356680.66,-0.34663275870631394,0.8221858778319937,3.5668065625,123778.51,-0.1568917543297022,0.7818253115428582,1.237785078125
50,4,5,5,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,4,5,10,0.01,1246926.5,-0.3842648560757092,1.0696694134176452,12.469265,191788.67,-0.23817476590955303,1.6645488666098567,1.91788671875
50,4,5,10,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,4,5,20,0.01,357744.06,-0.34729744466193513,0.8222752155614004,3.577440625,123850.32,-0.15731702093715869,0.7819845949818818,1.238503203125
50,4,5,20,0.1,153319.9,-0.4379716914677841,0.33609199552315233,1.5331990625,121580.92,-0.299812293979282,0.5398165321857596,1.21580921875
50,4,10,5,0.01,971719.4,-0.42631764431309477,1.0112299024899005,9.71719375,131551.56,-0.2650879751700153,0.6973922601505883,1.315515625
50,4,10,5,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,4,10,10,0.01,911415.3,-0.28050701958769514,0.9891465683538482,9.114153125,91667.53,-0.39817380459940055,-0.017058944229606104,0.9166753125
50,4,10,10,0.1,367347.9,-0.35322095644971513,0.8231019857073386,3.6734790625,124476.79,-0.16108736416418684,0.783209725962608,1.244767890625
50,4,10,20,0.01,1081602.0,-0.38474556534618,1.0254302155800814,10.81602,130662.84,-0.3011455408662077,0.6527827135943244,1.3066284375
50,4,10,20,0.1,170536.56,-0.4362652766840656,0.3451102105752829,1.705365625,99048.68,-0.202496122736541,0.07115631968669595,0.990486796875
50,4,20,5,0.01,891619.06,-0.4362974085838834,0.96003598069796,8.916190625,129316.42,-0.3131358808976621,0.636002706485913,1.29316421875
50,4,20,5,0.1,366769.94,-0.35302131461485337,0.8229708438824405,3.667699375,124424.32,-0.16094335257074427,0.7825803365753465,1.244243203125
50,4,20,10,0.01,1557145.9,-0.4379498074296619,1.1178127784894578,15.57145875,158760.83,-0.27364433092229384,1.003022572756151,1.58760828125
50,4,20,10,0.1,870278.7,-0.4379720624192247,0.9443245719621891,8.702786875,102450.44,-0.37148572339166164,0.19308386247039455,1.024504375
50,4,20,20,0.01,710661.2,-0.32069994081616615,0.9046905671502032,7.106611875,173732.48,-0.28579803551572364,1.1799367321957568,1.73732484375
50,4,20,20,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,5,5,5,0.01,1748116.5,-0.38515913897289283,1.1985666120222822,17.481165,190532.08,-0.21065541152221223,1.3653630392713,1.90532078125
50,5,5,5,0.1,367007.2,-0.35309877125770067,0.8230302651545895,3.670071875,124452.5,-0.1610058467703614,0.7829710887304789,1.244525
50,5,5,10,0.01,861093.94,-0.3933213273377373,0.9257575471631763,8.610939375,133318.33,-0.3156992703841645,0.6928774985790691,1.33318328125
50,5,5,10,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,5,5,20,0.01,1474372.2,-0.4379555133326577,1.1356146637225797,14.7437225,102448.77,-0.3714895431552043,0.1930507775882586,1.024487734375
50,5,5,20,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,5,10,5,0.01,431148.8,-0.3520445443248878,0.83763153012936,4.311488125,218885.97,-0.15653465242132125,1.712977360959367,2.1888596875
50,5,10,5,0.1,124260.62,-0.3706182161362447,0.23682749531110286,1.242606171875,111611.79,-0.2908216246820854,0.3571421673293427,1.116117890625
50,5,10,10,0.01,894349.9,-0.28039289036720705,0.9785174951866379,8.94349875,102249.445,-0.3714426148189862,0.18934253173498475,1.022494453125
50,5,10,10,0.1,293448.25,-0.4379718924934152,0.6177579655403592,2.9344825,102960.55,-0.3871577290117712,0.19336584191456527,1.02960546875
50,5,10,20,0.01,1534466.6,-0.4365505075972645,1.1347835071736032,15.34466625,137364.53,-0.3073228296873281,0.7433948611631289,1.3736453125
50,5,10,20,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,5,20,5,0.01,877177.8,-0.42694915393416505,0.9245505464221956,8.771778125,120362.48,-0.3695605590511448,0.5342458093413093,1.203624765625
50,5,20,5,0.1,367404.06,-0.4362651339351795,0.604649113487318,3.674040625,91715.49,-0.3877160946899802,-0.054860361231705554,0.917154921875
50,5,20,10,0.01,973531.2,-0.3951736749048548,0.9905777629202123,9.735311875,198267.53,-0.22139916127046438,1.337962244570207,1.9826753125
50,5,20,10,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
50,5,20,20,0.01,1508833.0,-0.43676034755077187,1.1154447683479267,15.08833,144816.22,-0.28751935754246405,0.8491076616209464,1.4481621875
50,5,20,20,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
100,3,5,5,0.01,351043.8,-0.2922707151190084,0.8298178624313791,3.510438125,121182.234,-0.15086521513971915,0.7775144783124238,1.21182234375
100,3,5,5,0.1,367728.5,-0.35320135024092725,0.8347818544188955,3.677285,117427.61,-0.16108502495666355,0.6463089597773198,1.17427609375
100,3,5,10,0.01,1534792.2,-0.28602691169217487,1.1972284024881668,15.3479225,178626.48,-0.26020880978971694,1.3623896520583834,1.78626484375
100,3,5,10,0.1,610448.8,-0.43626494067378696,0.8076681163051979,6.104488125,86490.83,-0.3877159725075742,-0.20726334677088012,0.86490828125
100,3,5,20,0.01,1908833.4,-0.3851590292512483,1.2505784696169864,19.08833375,202810.31,-0.20459796030844243,1.7264875790061271,2.028103125
100,3,5,20,0.1,545677.06,-0.4379717164251648,0.8377056076640429,5.456770625,96613.77,-0.37148555588327414,0.07998779420837229,0.966137734375
100,3,10,5,0.01,1207989.5,-0.38512409138829173,1.0615123654743475,12.079895,138880.75,-0.2721313865436704,0.8394218012122938,1.3888075
100,3,10,5,0.1,382727.03,-0.4379718575459704,0.6649853962542461,3.8272703125,96613.77,-0.37148555588327414,0.07998779420837229,0.966137734375
100,3,10,10,0.01,535919.9,-0.3029359093611466,0.8415050687323858,5.35919875,111865.21,-0.3064818233519667,0.3821834911765416,1.118652109375
100,3,10,10,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
100,3,10,20,0.01,1422115.4,-0.4375419967484365,1.1211462294596595,14.22115375,105813.7,-0.3089114640704241,0.2672391610269414,1.05813703125
100,3,10,20,0.1,834720.25,-0.4379717748188649,0.9356169675820227,8.3472025,157859.44,-0.25459508292105837,1.1158237740980321,1.578594375
100,3,20,5,0.01,1034042.44,-0.286054459935333,1.0533282053954944,10.340424375,100749.96,-0.3518975353798292,0.16959870699519092,1.007499609375
100,3,20,5,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
100,3,20,10,0.01,1800770.4,-0.38515917860755294,1.2083470959952665,18.00770375,161465.42,-0.20508545880279846,1.130196576369691,1.61465421875
100,3,20,10,0.1,428261.78,-0.4362650829879282,0.6694271071253588,4.2826178125,86490.83,-0.3877159725075742,-0.20726334677088012,0.86490828125
100,3,20,20,0.01,886417.06,-0.38689711459579545,0.9785261396590965,8.864170625,96610.4,-0.371484325304346,0.07991573587510263,0.966103984375
100,3,20,20,0.1,100000.0,0.0,,1.0,100000.0,0.0,,1.0
100,4,5,5,0.01,353868.7,-0.3446181087023403,0.8334309545183028,3.538686875,116842.234,-0.15571096689588715,0.6451195694462771,1.16842234375
