TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,,,,
30,3,20,20,0.02,649215.56,-0.44530929,1.061784034,6.492155625,212293.16,-0.174775255,1.540658936,2.122931563,1.078674027,0.984763548,0.720685793,0.928041123
60,5,20,20,0.02,621644.06,-0.307901422,1.114626089,6.216440625,200760.02,-0.196107426,1.501692827,2.007600156,1,0.969556985,0.686594135,0.885383707
60,4,10,20,0.02,563419.44,-0.314339859,1.079455989,5.634194375,195516.86,-0.182586599,1.436862534,1.955168594,0.964233488,0.944256899,0.708202222,0.872230869
60,5,10,20,0.02,511893.8,-0.273662636,1.142842753,5.118938125,177075.6,-0.158842754,1.579701636,1.770755938,0.838435262,1,0.746148058,0.861527773
60,5,20,10,0.02,429610.78,-0.396000309,0.885640124,4.296107813,188461.7,-0.172160326,1.369906243,1.884617031,0.916106306,0.918127141,0.724864799,0.853032749
60,5,5,5,0.02,667090.3,-0.385158805,1.114412584,6.670903125,195187.67,-0.245617871,1.41096766,1.951876719,0.961987915,0.934151399,0.607469829,0.834536381
30,3,5,5,0.02,901744.25,-0.330936067,1.312217314,9.0174425,180596.84,-0.174989332,1.250651265,1.805968438,0.862455685,0.871587768,0.72034367,0.818129041
60,4,5,20,0.02,768291.4,-0.385158896,1.202350434,7.68291375,176157.58,-0.174950832,1.255269352,1.761575781,0.832172962,0.873389981,0.720405198,0.808656047
60,4,10,10,0.02,840080.2,-0.280392885,1.33134197,8.400801875,175355.97,-0.195845099,1.240065293,1.753559688,0.826704734,0.867456582,0.687013368,0.793724895
30,5,5,20,0.02,401622.25,-0.348153643,0.865983809,4.0162225,181582.92,-0.218371745,1.229603863,1.815829219,0.869182277,0.863373998,0.651012779,0.794523018
60,4,20,5,0.02,866636.94,-0.318962642,1.239569475,8.666369375,173176.23,-0.222118556,1.234962731,1.731762344,0.811835542,0.865465302,0.645024874,0.774108573
60,3,20,5,0.02,262048.11,-0.456306972,0.622340928,2.620481094,171522.5,-0.21730602,1.215182617,1.715225,0.800554492,0.857746093,0.65271595,0.770338845
30,3,5,10,0.02,314365.5,-0.347732132,0.893974818,3.143655,149348.61,-0.15417489,1.217483167,1.493486094,0.649293935,0.858643885,0.753607929,0.753848583
30,5,10,20,0.02,937970.75,-0.296927669,1.282607416,9.3797075,174433.44,-0.261649526,1.202902454,1.744334375,0.820411631,0.852953747,0.581849102,0.75173816
30,4,20,10,0.02,281909.75,-0.504558109,0.665592362,2.8190975,167069.55,-0.209690488,1.100983471,1.670695469,0.770178398,0.813179763,0.664886586,0.749414916
30,4,5,10,0.02,174130.03,-0.293206198,0.486730866,1.741300313,166637.47,-0.224802811,1.043020065,1.666374688,0.767230951,0.790559487,0.640735076,0.732841838
30,4,5,5,0.02,1142043.5,-0.280392746,1.442725779,11.420435,160001.81,-0.230345493,1.038903554,1.600018125,0.721965414,0.788953015,0.631877129,0.714265186
30,5,20,20,0.02,628204.44,-0.28039305,1.127096437,6.282044375,152423.05,-0.216175546,0.95850644,1.524230469,0.670266399,0.757577961,0.654522597,0.694122319
30,4,5,20,0.02,244789.1,-0.352623711,0.781900055,2.447890938,130071.664,-0.159364841,0.891603779,1.300716641,0.517795069,0.731469132,0.745313694,0.664859298
30,3,20,10,0.02,243562.58,-0.35103316,0.781496655,2.435625781,129848.984,-0.158459447,0.890754956,1.298489844,0.516276046,0.731137878,0.746760635,0.664724853
30,3,10,10,0.02,243569.22,-0.351040547,0.781503708,2.435692188,129849.52,-0.15846246,0.89074948,1.298495234,0.516279723,0.731135741,0.74675582,0.664723761
30,5,5,5,0.02,242978.77,-0.350285946,0.781294912,2.429787656,129739.83,-0.158019869,0.89030632,1.297398281,0.51553143,0.730962797,0.747463139,0.664652455
30,4,20,5,0.02,232916.7,-0.337130476,0.777597997,2.329167031,127830.984,-0.150171677,0.882718363,1.278309844,0.502510135,0.72800159,0.760005597,0.663505774
30,5,10,10,0.02,778623.7,-0.280393024,1.273980396,7.786236875,149986.36,-0.250728303,0.933350382,1.499863594,0.653644386,0.747760785,0.599302675,0.666902615
60,3,5,5,0.02,238056.62,-0.351222648,0.771383897,2.38056625,126201.555,-0.158602706,0.842384914,1.262015547,0.49139488,0.712261421,0.746531687,0.650062663
60,5,20,5,0.02,238000.19,-0.35114741,0.771359891,2.380001875,126192.586,-0.158560059,0.842345402,1.261925859,0.491333699,0.712246002,0.746599842,0.650059848
60,3,10,5,0.02,238058.2,-0.351224264,0.771383618,2.380582031,126201.375,-0.158605478,0.842374658,1.26201375,0.491393654,0.712257419,0.746527257,0.650059444
60,4,10,5,0.02,237925.56,-0.351039523,0.771344941,2.379255625,126179.92,-0.158505986,0.842279274,1.261799219,0.491247311,0.712220195,0.746686258,0.650051255
60,5,10,5,0.02,721308.7,-0.299689617,1.205508749,7.213086875,136939.56,-0.204521391,0.806325453,1.369395625,0.56464486,0.698189181,0.673147495,0.645327179
60,3,20,10,0.02,1018254.94,-0.287278962,1.379930089,10.18254938,133215.84,-0.229391204,0.71284655,1.332158438,0.539243284,0.661708947,0.633402211,0.61145148
30,3,20,5,0.02,808589.7,-0.28039312,1.281345697,8.085896875,117918.18,-0.155497509,0.560388492,1.179181797,0.434889329,0.602212039,0.751494207,0.596198525
30,4,20,20,0.02,100000,0,,1,100000,0,,1,0.312659366,0.383519877,1,0.565393081
60,3,10,10,0.02,100000,0,,1,100000,0,,1,0.312659366,0.383519877,1,0.565393081
60,3,20,20,0.02,638576,-0.385158669,1.117824993,6.38576,132942.28,-0.331567145,0.680240328,1.329422813,0.53737716,0.648984337,0.470111406,0.552157634
30,5,10,5,0.02,1103371,-0.333173493,1.373424274,11.03371,126582.305,-0.293555611,0.579948473,1.265823047,0.49399219,0.609845341,0.530858915,0.544898815
30,4,10,5,0.02,1217252.9,-0.280392887,1.481365331,12.17252875,125580.81,-0.302137956,0.564188497,1.255808125,0.487160449,0.603694995,0.517143182,0.535999542
60,4,20,20,0.02,615072.75,-0.280392937,1.155152794,6.1507275,122571.22,-0.324159775,0.54243742,1.225712188,0.466630321,0.595206616,0.481949374,0.514595437
60,4,20,10,0.02,966106.56,-0.27691526,1.374250837,9.661065625,107304.08,-0.2794348,0.283131425,1.073040781,0.362484583,0.494012195,0.553425859,0.469974212
60,5,5,10,0.02,787789,-0.333435049,1.365537925,7.87789,95157.7,-0.309915257,0.044727043,0.951577031,0.27962734,0.40097465,0.504714017,0.395105336
60,3,5,20,0.02,420084.3,-0.347250888,0.908278307,4.200843125,97444.84,-0.339930094,0.092565571,0.974448438,0.29522921,0.419643682,0.456746297,0.39053973
60,3,10,20,0.02,655367.25,-0.328612454,1.265267029,6.5536725,92322.42,-0.300691272,-0.025216918,0.923224219,0.260286295,0.37367895,0.519455176,0.384473474
60,5,5,20,0.02,711020.1,-0.280393121,1.239018514,7.11020125,98479.875,-0.371485084,0.1196155,0.98479875,0.30228974,0.430199944,0.406317208,0.379602297
30,3,10,20,0.02,994464.4,-0.291479648,1.374694359,9.94464375,89097.13,-0.356411696,-0.063627191,0.890971328,0.238284788,0.358689303,0.430406495,0.342460195
60,4,5,10,0.02,782511.5,-0.280393048,1.386840192,7.825115,90170.125,-0.36738039,-0.067624542,0.90170125,0.24560427,0.357129333,0.412877057,0.338536886
60,5,10,10,0.02,242514.4,-0.34407606,0.719506626,2.425144063,89791.62,-0.408385667,-0.080879826,0.897916172,0.243022255,0.351956445,0.347345146,0.314107949
60,3,5,10,0.02,369306.38,-0.342045192,0.81896576,3.69306375,85508.69,-0.388764632,-0.167984608,0.855086875,0.213805988,0.317963718,0.378702181,0.303490629
30,4,10,10,0.02,422361.8,-0.391716907,0.851179765,4.223618125,82498.01,-0.431542037,-0.184165676,0.824980078,0.193268451,0.31164904,0.310338172,0.271751888
30,5,20,10,0.02,324908.4,-0.307901407,0.752823969,3.249084063,81135.91,-0.462557063,-0.196100754,0.811359063,0.183976792,0.306991364,0.260772018,0.250580058
30,3,10,5,0.02,1169673.6,-0.280173934,1.459335893,11.69673625,74829.74,-0.420264694,-0.358129152,0.748297422,0.140958906,0.243759622,0.328360873,0.237693134
30,3,5,20,0.02,664166.06,-0.385164877,1.14218499,6.641660625,76456.36,-0.440051972,-0.324506315,0.764563594,0.152054975,0.256880967,0.29673816,0.235224701
30,5,20,5,0.02,954649.8,-0.257122183,1.320312296,9.546498125,75630.9,-0.458150469,-0.360859461,0.756308984,0.146424043,0.242694116,0.267814344,0.218977501
30,5,5,10,0.02,381019.22,-0.35062917,1.02587655,3.810192188,61143.832,-0.523576431,-0.822432053,0.61143832,0.04759963,0.062564956,0.163254916,0.091139834
60,4,5,5,0.02,644492.75,-0.322589297,1.1338566,6.4449275,54166.01,-0.589158942,-0.982751843,0.541660117,0,0,0.058445302,0.019481767
30,4,10,20,0.02,874287.4,-0.39545951,1.275722969,8.74287375,58452.17,-0.625729916,-0.939998018,0.584521719,0.029238305,0.016684722,0,0.015307676
